name,english_name,description,face_shape,eyes,eyebrows,nose,mouth,jaw,hair,impression,face_tags,keywords,image_url
tsubaki,tsubaki,긴 머리와 날카로운 인상을 가진 캐릭터입니다.,계란형,"큰눈, 쌍꺼풀","굵은눈썹, 아치형눈썹",오똑한코,작은입,갸름한턱,"장발, 직모","날카로운인상, 신비로운인상","계란형, 큰눈, 쌍꺼풀, 굵은눈썹, 아치형눈썹, 오똑한코, 작은입, 갸름한턱, 장발, 직모, 날카로운인상, 신비로운인상","긴머리, 날카로운눈, 오똑한코, 작은입, 신비로운인상",images/tsubaki.png
가짜_수신,가짜_수신,"이 캐릭터는 독특한 외모를 가지고 있으며, 날카로운 인상을 줍니다.",각진얼굴,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,무표정입,각진턱,"장발, 앞머리",날카로운인상,"각진얼굴, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 무표정입, 각진턱, 장발, 앞머리, 날카로운인상","독특한, 날카로운, 큰눈, 각진얼굴, 무표정",images/가짜_수신.jpg
가텐마루,가텐마루,강한 인상을 주는 캐릭터의 얼굴,각진얼굴,"날카로운눈, 쌍꺼풀",굵은눈썹,오똑한코,얇은입술,각진턱,"장발, 앞머리","강한인상, 날카로운인상","각진얼굴, 날카로운눈, 굵은눈썹, 오똑한코, 얇은입술, 각진턱, 장발, 앞머리, 강한인상, 날카로운인상","강한인상, 날카로운눈, 각진얼굴, 오똑한코, 얇은입술",images/가텐마루.jpg
감실쥐의_우두머리,감실쥐의_우두머리,"강렬한 인상을 주는 캐릭터로, 독특한 외모를 가지고 있다.",각진얼굴,"큰눈, 날카로운눈",굵은눈썹,큰코,큰입,각진턱,"장발, 앞머리",강한인상,"각진얼굴, 큰눈, 날카로운눈, 굵은눈썹, 큰코, 큰입, 각진턱, 장발, 앞머리, 강한인상","강렬한, 독특한, 강한, 인상적인, 캐릭터",images/감실쥐의_우두머리.jpg
갓난아기,갓난아기,부드러운 인상을 주는 갓난아기 캐릭터,둥근얼굴,"큰눈, 쌍꺼풀",가는눈썹,작은코,작은입,둥근턱,"단발, 앞머리",귀여운인상,"둥근얼굴, 큰눈, 가는눈썹, 작은코, 작은입, 둥근턱, 단발, 앞머리, 귀여운인상","부드러운, 귀여운, 아기, 둥글다, 큰눈",images/갓난아기.jpg
개_대장,개_대장,강렬한 인상을 주는 캐릭터,각진얼굴,"큰눈, 쌍꺼풀",굵은눈썹,높은코,무표정입,각진턱,"장발, 앞머리","강한인상, 날카로운인상","각진얼굴, 큰눈, 쌍꺼풀, 굵은눈썹, 높은코, 무표정입, 각진턱, 장발, 앞머리, 강한인상, 날카로운인상","강렬한, 날카로운, 각진, 큰눈, 장발",images/개_대장.jpg
거대_사혼충,거대_사혼충,"거대한 뱀 형태의 캐릭터로, 독특한 얼굴 특징을 가지고 있습니다.",각진얼굴,"큰눈, 날카로운눈",굵은눈썹,큰코,큰입,각진턱,"장발, 곱슬","강한인상, 신비로운인상","각진얼굴, 큰눈, 날카로운눈, 굵은눈썹, 큰코, 큰입, 각진턱, 장발, 곱슬, 강한인상, 신비로운인상","거대, 뱀, 신비로운, 강한, 독특한",images/거대_사혼충.jpg
고신키,고신키,고신키는 강렬한 인상을 주는 캐릭터입니다.,각진얼굴,"날카로운눈, 작은눈",굵은눈썹,큰코,무표정입,각진턱,"장발, 가르마",강한인상,"각진얼굴, 날카로운눈, 굵은눈썹, 큰코, 무표정입, 각진턱, 장발, 강한인상","강렬한, 날카로운, 각진, 무표정, 장발",images/고신키.jpg
고즈와_메즈,고즈와_메즈,고즈와 메즈는 강한 인상을 주는 캐릭터입니다.,각진얼굴,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,작은입,각진턱,"장발, 앞머리","강한인상, 신비로운인상","각진얼굴, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 작은입, 각진턱, 장발, 앞머리, 강한인상, 신비로운인상","강한인상, 신비로운, 각진얼굴, 큰눈, 장발",images/고즈와_메즈.jpg
고타츠,고타츠,웃고 있는 모습의 캐릭터,둥근얼굴,"큰눈, 동그란눈",굵은눈썹,작은코,큰입,둥근턱,"숏컷, 앞머리",귀여운인상,"둥근얼굴, 큰눈, 동그란눈, 굵은눈썹, 작은코, 큰입, 둥근턱, 숏컷, 앞머리, 귀여운인상","웃는 얼굴, 귀여운, 큰눈, 둥근얼굴, 짧은머리",images/고타츠.jpg
곡령,곡령,차가운 인상을 주는 긴 얼굴의 캐릭터,긴얼굴,"날카로운눈, 쌍꺼풀",굵은눈썹,오똑한코,얇은입술,각진턱,"장발, 직모","차가운인상, 신비로운인상","긴얼굴, 날카로운눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 얇은입술, 각진턱, 장발, 직모, 차가운인상, 신비로운인상","차가운, 긴얼굴, 날카로운눈, 오똑한코, 장발",images/곡령.jpg
교코츠,교코츠,강한 인상을 주는 캐릭터의 얼굴,각진얼굴,"날카로운눈, 쌍꺼풀",굵은눈썹,"큰코, 오똑한코","큰입, 두꺼운입술",각진턱,"장발, 가르마","강한인상, 날카로운인상","각진얼굴, 날카로운눈, 굵은눈썹, 큰코, 큰입, 각진턱, 장발, 강한인상, 날카로운인상","강한인상, 날카로운눈, 큰코, 큰입, 각진턱",images/교코츠.jpg
극락조의_우두머리,극락조의_우두머리,극락조의 우두머리는 독특한 외형을 가진 캐릭터입니다.,각진얼굴,"큰눈, 날카로운눈",굵은눈썹,큰코,큰입,각진턱,"장발, 곱슬","강한인상, 신비로운인상","각진얼굴, 큰눈, 날카로운눈, 굵은눈썹, 큰코, 큰입, 각진턱, 장발, 곱슬, 강한인상, 신비로운인상","극락조, 독특한, 강한인상, 신비로운, 각진얼굴",images/극락조의_우두머리.jpg
긴코츠,긴코츠,"강한 인상을 주는 캐릭터로, 독특한 외형을 가지고 있다.",각진얼굴,"큰눈, 날카로운눈",굵은눈썹,"큰코, 오똑한코","큰입, 두꺼운입술",각진턱,"장발, 가르마","강한인상, 날카로운인상","각진얼굴, 큰눈, 날카로운눈, 굵은눈썹, 큰코, 오똑한코, 큰입, 두꺼운입술, 각진턱, 장발, 가르마, 강한인상, 날카로운인상","강한, 독특한, 날카로운, 인상적인, 각진",images/긴코츠.jpg
긴타와_핫카쿠,긴타와_핫카쿠,긴타와 핫카쿠는 독특한 외형을 가진 캐릭터입니다.,각진얼굴,"큰눈, 쌍꺼풀",굵은눈썹,작은코,무표정입,각진턱,"숏컷, 앞머리",날카로운인상,"각진얼굴, 큰눈, 쌍꺼풀, 굵은눈썹, 작은코, 무표정입, 각진턱, 숏컷, 앞머리, 날카로운인상","각진얼굴, 큰눈, 날카로운인상, 굵은눈썹, 숏컷",images/긴타와_핫카쿠.jpg
꼬마_원숭이들,꼬마_원숭이들,"귀여운 원숭이 캐릭터들로, 다양한 표정을 지니고 있습니다.",둥근얼굴,"큰눈, 동그란눈",굵은눈썹,작은코,"큰입, 미소형입",둥근턱,"앞머리, 곱슬",귀여운인상,"둥근얼굴, 큰눈, 동그란눈, 굵은눈썹, 작은코, 큰입, 미소형입, 둥근턱, 앞머리, 곱슬, 귀여운인상","귀여운, 원숭이, 다양한표정, 둥글다, 작다",images/꼬마_원숭이들.jpg
나라쿠,나라쿠,나라쿠는 신비로운 인상을 주는 캐릭터입니다.,각진얼굴,"날카로운눈, 쌍꺼풀",굵은눈썹,높은코,무표정입,각진턱,"장발, 직모","신비로운인상, 날카로운인상","각진얼굴, 날카로운눈, 쌍꺼풀, 굵은눈썹, 높은코, 무표정입, 각진턱, 장발, 직모, 신비로운인상, 날카로운인상","신비로운, 날카로운, 각진얼굴, 높은코, 장발",images/나라쿠.jpg
나즈나,나즈나,부드러운 인상을 주는 캐릭터,계란형,"큰눈, 쌍꺼풀",가는눈썹,오똑한코,작은입,갸름한턱,"장발, 앞머리, 묶음머리","부드러운인상, 귀여운인상","계란형, 큰눈, 쌍꺼풀, 가는눈썹, 오똑한코, 작은입, 갸름한턱, 장발, 앞머리, 묶음머리, 부드러운인상, 귀여운인상","부드러운, 귀여운, 큰눈, 오똑한코, 장발",images/나즈나.jpg
늙은_늑대,늙은_늑대,늙은 늑대의 강렬한 인상이 돋보이는 얼굴.,각진얼굴,"날카로운눈, 작은눈",굵은눈썹,큰코,얇은입술,각진턱,"장발, 곱슬",강한인상,"각진얼굴, 날카로운눈, 굵은눈썹, 큰코, 얇은입술, 각진턱, 장발, 곱슬, 강한인상","늑대, 강렬한, 날카로운, 늙은, 인상적",images/늙은_늑대.jpg
다보탑_귀신,다보탑_귀신,강렬하고 위협적인 인상의 캐릭터,각진얼굴,"큰눈, 날카로운눈",굵은눈썹,오똑한코,큰입,각진턱,"장발, 앞머리","강한인상, 신비로운인상","각진얼굴, 큰눈, 날카로운눈, 굵은눈썹, 오똑한코, 큰입, 각진턱, 장발, 앞머리, 강한인상, 신비로운인상","강렬한, 위협적, 신비로운, 각진얼굴, 큰눈",images/다보탑_귀신.jpg
다이고쿠마루,다이고쿠마루,강렬하고 위협적인 인상을 주는 캐릭터,각진얼굴,"큰눈, 날카로운눈",굵은눈썹,"큰코, 오똑한코","큰입, 두꺼운입술",각진턱,"장발, 묶음머리","강한인상, 신비로운인상","각진얼굴, 큰눈, 날카로운눈, 굵은눈썹, 큰코, 두꺼운입술, 각진턱, 장발, 강한인상, 신비로운인상","강렬한, 위협적, 신비로운, 독특한, 인상적인",images/다이고쿠마루.jpg
다케다_쿠라노스케,다케다_쿠라노스케,밝고 자신감 있는 인상의 소년,계란형,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,미소형입,갸름한턱,"장발, 앞머리, 직모","강한인상, 귀여운인상","계란형, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 미소형입, 갸름한턱, 장발, 앞머리, 직모, 강한인상, 귀여운인상","밝은, 자신감, 귀여운, 소년, 매력적인",images/다케다_쿠라노스케.jpg
도과인,도과인,"도과인의 얼굴은 둥글고 부드러운 인상을 주며, 큰 눈과 두꺼운 입술이 특징이다.",둥근얼굴,"큰눈, 쌍꺼풀",굵은눈썹,작은코,두꺼운입술,둥근턱,"단발, 직모",부드러운인상,"둥근얼굴, 큰눈, 쌍꺼풀, 굵은눈썹, 작은코, 두꺼운입술, 둥근턱, 단발, 직모, 부드러운인상","둥근얼굴, 큰눈, 두꺼운입술, 부드러운인상, 단발",images/도과인.jpg
라세츠의_칸스케,라세츠의_칸스케,"나이가 들어 보이는 남성 캐릭터로, 강한 인상을 주는 얼굴입니다.",각진얼굴,"작은눈, 처진눈",굵은눈썹,"낮은코, 오똑한코",무표정입,각진턱,"장발, 앞머리",강한인상,"각진얼굴, 작은눈, 처진눈, 굵은눈썹, 낮은코, 오똑한코, 무표정입, 각진턱, 장발, 앞머리, 강한인상","노인, 강한인상, 각진얼굴, 작은눈, 무표정",images/라세츠의_칸스케.jpg
렌코츠,렌코츠,차가운 인상을 주는 남성 캐릭터,각진얼굴,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,무표정입,각진턱,"단발, 앞머리",차가운인상,"각진얼굴, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 무표정입, 각진턱, 단발, 앞머리, 차가운인상","차가운, 남성, 각진얼굴, 큰눈, 무표정",images/렌코츠.jpg
로야칸,로야칸,강렬한 인상을 주는 캐릭터,각진얼굴,"큰눈, 쌍꺼풀",굵은눈썹,큰코,큰입,각진턱,"장발, 곱슬",강한인상,"각진얼굴, 큰눈, 굵은눈썹, 큰코, 큰입, 각진턱, 장발, 곱슬, 강한인상","강렬한, 독특한, 귀여운, 위협적인, 인상적인",images/로야칸.jpg
루리,루리,루리는 날카로운 인상을 주는 캐릭터입니다.,각진얼굴,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,얇은입술,각진턱,"장발, 앞머리",날카로운인상,"각진얼굴, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 얇은입술, 각진턱, 장발, 앞머리, 날카로운인상","날카로운, 큰눈, 각진얼굴, 오똑한코, 얇은입술",images/루리.jpg
류코츠세이,류코츠세이,강렬한 인상을 주는 캐릭터,각진얼굴,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,무표정입,각진턱,"장발, 직모","강한인상, 신비로운인상","각진얼굴, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 무표정입, 각진턱, 장발, 직모, 강한인상, 신비로운인상","강렬한, 신비로운, 각진얼굴, 큰눈, 장발",images/류코츠세이.jpg
링,링,밝고 귀여운 인상의 소녀,둥근얼굴,"큰눈, 쌍꺼풀",굵은눈썹,작은코,미소형입,둥근턱,"장발, 앞머리, 직모",귀여운인상,"둥근얼굴, 큰눈, 쌍꺼풀, 굵은눈썹, 작은코, 미소형입, 둥근턱, 장발, 앞머리, 직모, 귀여운인상","귀여운, 밝은, 소녀, 큰눈, 장발",images/링.jpg
마유,마유,강한 인상을 주는 소녀의 얼굴,둥근얼굴,"큰눈, 쌍꺼풀",굵은눈썹,작은코,작은입,둥근턱,"장발, 묶음머리","강한인상, 귀여운인상","둥근얼굴, 큰눈, 쌍꺼풀, 굵은눈썹, 작은코, 작은입, 둥근턱, 장발, 묶음머리, 강한인상, 귀여운인상","강한인상, 귀여운얼굴, 큰눈, 둥근얼굴, 묶음머리",images/마유.jpg
마유의_어머니,마유의_어머니,부드러운 인상의 젊은 여성 캐릭터,계란형,"큰눈, 쌍꺼풀",가는눈썹,작은코,미소형입,갸름한턱,"단발, 앞머리",부드러운인상,"계란형, 큰눈, 쌍꺼풀, 가는눈썹, 작은코, 미소형입, 갸름한턱, 단발, 앞머리, 부드러운인상","부드러운, 젊은, 귀여운, 미소, 큰눈",images/마유의_어머니.jpg
만천,만천,"특이한 외형의 캐릭터로, 독특한 얼굴 생김새를 가지고 있다.",각진얼굴,"날카로운눈, 쌍꺼풀",굵은눈썹,오똑한코,무표정입,각진턱,"숏컷, 묶음머리",날카로운인상,"각진얼굴, 날카로운눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 무표정입, 각진턱, 숏컷, 묶음머리, 날카로운인상","특이한, 독특한, 날카로운, 각진, 무표정",images/만천.jpg
머리카락_요괴,머리카락_요괴,머리카락이 많은 요괴의 얼굴,각진얼굴,큰눈,굵은눈썹,큰코,큰입,각진턱,"장발, 곱슬",강한인상,"각진얼굴, 큰눈, 굵은눈썹, 큰코, 큰입, 각진턱, 장발, 곱슬, 강한인상","요괴, 강한인상, 큰입, 긴머리, 각진얼굴",images/머리카락_요괴.jpg
메노마루,메노마루,날카로운 인상을 주는 캐릭터,각진얼굴,"큰눈, 날카로운눈","굵은눈썹, 아치형눈썹",오똑한코,작은입,각진턱,"장발, 앞머리",날카로운인상,"각진얼굴, 큰눈, 날카로운눈, 굵은눈썹, 오똑한코, 작은입, 각진턱, 장발, 앞머리, 날카로운인상","날카로운, 강렬한, 독특한, 매력적인, 신비로운",images/메노마루.jpg
모료마루,모료마루,모료마루는 날카로운 인상을 주는 캐릭터입니다.,긴얼굴,"큰눈, 쌍꺼풀",굵은눈썹,오똑한코,무표정입,각진턱,"장발, 앞머리, 직모",날카로운인상,"긴얼굴, 큰눈, 쌍꺼풀, 굵은눈썹, 오똑한코, 무표정입, 각진턱, 장발, 앞머리, 직모, 날카로운인상","모료마루, 날카로운, 긴얼굴, 큰눈, 장발",images/모료마루.jpg
모모,모모,모모는 독특한 외형을 가진 캐릭터입니다.,각진얼굴,"큰눈, 동그란눈",굵은눈썹,큰코,작은입,각진턱,"단발, 곱슬",귀여운인상,"각진얼굴, 큰눈, 동그란눈, 굵은눈썹, 큰코, 작은입, 각진턱, 단발, 곱슬, 귀여운인상","독특한, 귀여운, 큰눈, 각진얼굴, 단발",images/모모.jpg
